,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
2996,Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.8,Income,"$25,000 - $34,999"
2997,Washington,Percent of adults who engage in no leisure-time physical activity,21.6,Income,Data not reported
2998,Michigan,Percent of adults aged 18 years and older who have an overweight classification,34.9,Total,Total
2999,National,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,22.0,Income,"$35,000 - $49,999"
3000,New Hampshire,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.8,Income,"$35,000 - $49,999"
3001,Colorado,Percent of adults aged 18 years and older who have an overweight classification,35.0,Total,Total
3002,Idaho,Percent of adults aged 18 years and older who have obesity,35.7,Race/Ethnicity,2 or more races
3003,Michigan,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.3,Age (years),45 - 54
3004,West Virginia,Percent of adults aged 18 years and older who have obesity,39.3,Race/Ethnicity,Non-Hispanic Black
3005,Florida,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),40.7,Income,"$35,000 - $49,999"
3006,New Jersey,Percent of adults aged 18 years and older who have an overweight classification,37.9,Income,"$50,000 - $74,999"
3007,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,39.3,Race/Ethnicity,2 or more races
3008,Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.3,Race/Ethnicity,American Indian/Alaska Native
3009,New Hampshire,Percent of adults aged 18 years and older who have an overweight classification,29.9,Gender,Female
3010,Washington,Percent of adults aged 18 years and older who have an overweight classification,33.3,Education,Less than high school
3011,Arizona,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,47.6,Race/Ethnicity,2 or more races
3012,Kentucky,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.1,Gender,Male
3013,Maine,Percent of adults aged 18 years and older who have an overweight classification,32.1,Education,Less than high school
3014,North Carolina,Percent of adults who engage in no leisure-time physical activity,26.8,Age (years),45 - 54
3015,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.4,Race/Ethnicity,2 or more races
3016,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
3017,Nebraska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.7,Income,Data not reported
3018,Ohio,Percent of adults aged 18 years and older who have obesity,37.8,Race/Ethnicity,Non-Hispanic White
3019,Guam,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,American Indian/Alaska Native
3020,Washington,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.5,Income,"$25,000 - $34,999"
3021,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),40.3,Income,"Less than $15,000"
3022,West Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),52.6,Income,"$50,000 - $74,999"
3023,Michigan,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.6,Income,"$25,000 - $34,999"
3024,Iowa,Percent of adults who engage in no leisure-time physical activity,20.7,Age (years),45 - 54
3025,Alaska,Percent of adults who engage in no leisure-time physical activity,29.7,Age (years),65 or older
3026,New Hampshire,Percent of adults aged 18 years and older who have obesity,32.4,Age (years),55 - 64
3027,Virginia,Percent of adults aged 18 years and older who have obesity,12.3,Race/Ethnicity,Asian
3028,California,Percent of adults aged 18 years and older who have obesity,25.2,Gender,Female
3029,South Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),35.1,Education,College graduate
3030,North Dakota,Percent of adults aged 18 years and older who have obesity,24.8,Age (years),25 - 34
3031,New Hampshire,Percent of adults who report consuming fruit less than one time daily,35.1,Race/Ethnicity,Non-Hispanic White
3032,Georgia,Percent of adults aged 18 years and older who have an overweight classification,34.8,Total,Total
3033,Oregon,Percent of adults who engage in no leisure-time physical activity,19.0,Total,Total
3034,Michigan,Percent of adults who engage in no leisure-time physical activity,33.5,Income,"$15,000 - $24,999"
3035,Iowa,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.3,Income,"$35,000 - $49,999"
3036,Kentucky,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.5,Age (years),25 - 34
3037,Oklahoma,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.2,Education,High school graduate
3038,Kentucky,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.0,Age (years),25 - 34
3039,West Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,10.8,Education,Less than high school
3040,Nevada,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.1,Income,"$35,000 - $49,999"
3041,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,34.7,Education,High school graduate
3042,National,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,24.5,Gender,Female
3043,Nevada,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
3044,Minnesota,Percent of adults aged 18 years and older who have an overweight classification,39.8,Income,"$50,000 - $74,999"
3045,Maine,Percent of adults aged 18 years and older who have an overweight classification,35.7,Income,"$25,000 - $34,999"
3046,Ohio,Percent of adults aged 18 years and older who have obesity,35.8,Race/Ethnicity,Non-Hispanic Black
3047,Kansas,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,36.7,Race/Ethnicity,Asian
3048,New Jersey,Percent of adults aged 18 years and older who have obesity,31.8,Age (years),55 - 64
3049,Florida,Percent of adults aged 18 years and older who have obesity,31.8,Income,"$25,000 - $34,999"
3050,Colorado,Percent of adults aged 18 years and older who have obesity,23.9,Education,Some college or technical school
3051,California,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),64.8,Race/Ethnicity,Non-Hispanic White
3052,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,40.8,Income,"$35,000 - $49,999"
3053,Oklahoma,Percent of adults aged 18 years and older who have an overweight classification,40.1,Gender,Male
3054,Pennsylvania,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),60.1,Income,"$75,000 or greater"
3055,New Jersey,Percent of adults aged 18 years and older who have obesity,22.5,Race/Ethnicity,Other
3056,Montana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.7,Income,"$15,000 - $24,999"
3057,Florida,Percent of adults aged 18 years and older who have obesity,27.7,Gender,Male
3058,Iowa,Percent of adults aged 18 years and older who have obesity,35.4,Age (years),35 - 44
3059,Washington,Percent of adults who report consuming fruit less than one time daily,34.7,Education,Less than high school
3060,South Carolina,Percent of adults who engage in no leisure-time physical activity,25.1,Total,Total
3061,Maine,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.7,Income,"$25,000 - $34,999"
3062,Arizona,Percent of adults aged 18 years and older who have obesity,26.5,Income,"$25,000 - $34,999"
3063,New Jersey,Percent of adults aged 18 years and older who have obesity,28.8,Race/Ethnicity,Non-Hispanic White
